Athlete,Event,Time,Placement,Meet,Date
Batlanki Rahul,LJ,6.88mw,5th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Cashman Ryan,4x400,3:30.40,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cashman Ryan,PV,3.75m,5th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cashman Ryan,DT,27.69m,10th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cashman Ryan,100,10.83w,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Cashman Ryan,LJ,7.00m,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Cashman Ryan,Hep,4693,7th ,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,1000,2:48.63,4th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,60,7.20,5th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,LJ,6.60m,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,SP,10.65m,8th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,HJ,1.76m,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,60H,9.15,10th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,PV,3.75m,8th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,SP,9.60m,10th  (F),14th Giegengack Invitational,Feb 15  2020
Cashman Ryan,60H,9.32,7th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cashman Ryan,60H,9.44,8th  (P),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cashman Ryan,4x400,3:30.78,5th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cashman Ryan,LJ,6.59m,4th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cashman Ryan,Hep,4399,10th ,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,1000,2:51.39,6th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,60,7.26,2nd,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,LJ,6.04m,11th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,SP,9.60m,10th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,HJ,1.73m,8th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,60H,9.31,12th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,PV,3.76m,8th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,60H,9.46,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Cashman Ryan,60H,9.62,5th  (P),Dartmouth vs Columbia vs Yale,Jan 18  2020
Cashman Ryan,4x400,3:30.76,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Cashman Ryan,TJ,13.55m,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Cashman Ryan,60H,9.65,15th  (P),2020 Dartmouth Relays - College & Open,Jan 10  2020
Cashman Ryan,4x400,DNF, ,2020 Dartmouth Relays - College & Open,Jan 10  2020
Cashman Ryan,LJ,6.38m,14th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Cashman Ryan,SP,10.05m,22nd  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Cashman Ryan,Hep,4367,5th ,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Cashman Ryan,1000,2:51.66,1st,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Cashman Ryan,60,7.25,4th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Cashman Ryan,LJ,6.63m,1st,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Cashman Ryan,SP,9.52m,4th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Cashman Ryan,HJ,1.75m,4th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Cashman Ryan,60H,9.71,4th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Cashman Ryan,PV,3.40m,3rd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Cashman Ryan,60H,10.09,6th  (F),Crimson Opener,Dec 7  2019
Cashman Ryan,SP,10.05m,10th  (F),Crimson Opener,Dec 7  2019
Cashman Ryan,TJ,13.71m,12th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Cashman Ryan,TJ,13.81m,4th  (F),Jay Carisella Coaches Invitational,Apr 20  2019
Cashman Ryan,100,11.52,8th  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Cashman Ryan,TJ,13.89m,1st  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Cashman Ryan,200,23.56w,27th  (F),University of MA Minuteman Invitational,Apr 6  2019
Cashman Ryan,TJ,14.16m,4th  (F),University of MA Minuteman Invitational,Apr 6  2019
Cashman Ryan,TJ,14.07m,15th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Cashman Ryan,200,23.56,62nd  (F),Fastrack National Invite,Feb 8  2019
Cashman Ryan,LJ,6.34m,19th  (F),Fastrack National Invite,Feb 8  2019
Cashman Ryan,TJ,13.54m,14th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Cashman Ryan,200,23.42,9th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Cashman Ryan,TJ,14.16m,3rd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Cashman Ryan,60,7.43,27th  (P),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Cashman Ryan,4x400,3:29.01,5th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Cashman Ryan,LJ,6.17m,14th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Cashman Ryan,TJ,14.13m,2nd  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Cashman Ryan,60,7.36,20th  (P),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Cashman Ryan,LJ,6.34m,10th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Chaffin Will,5000,14:52.74,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cormier Trey,5000,14:50.13,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cormier Trey,5000,DNF, ,UNH Wildcat Pre-Conference,Apr 24  2021
Daley Will,1500,3:47.94,8th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Daley Will,1500,3:47.83,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Daley Will,|10,000|,DNF, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Daley Will,1500,3:54.27,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Donnelly Collin,5000,14:50.37,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Donnelly Collin,5000,15:07.68,5th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Eaton Will,Mile,4:18.90,9th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Eaton Will,Mile,4:17.78,9th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Eaton Will,DMR,10:25.37,7th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Eaton Will,3000,8:24.79,41st  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Eaton Will,Mile,4:18.48,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Eaton Will,3000,DNF, ,Dartmouth vs Columbia vs Yale,Jan 18  2020
Eaton Will,3000,8:36.73,7th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Eaton Will,Mile,4:20.50,10th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Elsholz Derek,JT,53.73m,13th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Elsholz Derek,DT,40.27m,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Elsholz Derek,JT,55.78m,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Elsholz Derek,DT,40.97m,9th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Elsholz Derek,JT,54.40m,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Epstein Myles,100,11.74,8th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Epstein Myles,100,10.61,4th  (P),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Epstein Myles,100,10.49,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Epstein Myles,4x100,DNF, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Epstein Myles,4x400,3:17.94,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Epstein Myles,100,10.51w,1st  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Epstein Myles,200,21.71w,1st  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Epstein Myles,60,6.87,6th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Epstein Myles,60,6.86,6th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Epstein Myles,200,22.01,5th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Epstein Myles,200,22.30,7th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Epstein Myles,200,21.57,10th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Epstein Myles,60,6.87,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Epstein Myles,60,6.93,2nd  (P),2020 Dartmouth Indoor Invitational,Feb 8  2020
Epstein Myles,60,6.90,5th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Epstein Myles,60,6.95,7th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Epstein Myles,60,6.97,7th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Epstein Myles,200,21.98,6th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Epstein Myles,200,21.95,5th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Epstein Myles,200,21.78,12th  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Epstein Myles,60,6.95,4th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Epstein Myles,60,6.95,4th  (P),Dartmouth vs Columbia vs Yale,Jan 18  2020
Epstein Myles,200,22.12,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Epstein Myles,4x400,3:30.76,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Epstein Myles,60,6.89,1st  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Epstein Myles,60,6.89,1st  (P),2020 Dartmouth Relays - College & Open,Jan 10  2020
Epstein Myles,4x400,3:22.02,1st  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Epstein Myles,200,22.19,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Epstein Myles,60,6.94,3rd  (F),Crimson Opener,Dec 7  2019
Epstein Myles,60,6.90,4th  (P),Crimson Opener,Dec 7  2019
Epstein Myles,200,22.57,1st  (F),Crimson Opener,Dec 7  2019
Farber Mathieu,400,50.07,19th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Farber Mathieu,400,48.76,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Farber Mathieu,4x100,DNF, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Farber Mathieu,4x400,3:17.94,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Farber Mathieu,400,50.74,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Farber Mathieu,400,50.39,15th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Farber Mathieu,4x400,3:17.66,5th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Farber Mathieu,400,48.58,17th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Farber Mathieu,4x400,3:16.71,4th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Farber Mathieu,400,49.37,6th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Farber Mathieu,400,49.56,7th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Farber Mathieu,4x400,3:24.02,9th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Farber Mathieu,200,22.36,54th  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Farber Mathieu,400,48.66,7th  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Farber Mathieu,400,49.39,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Farber Mathieu,4x400,3:18.95,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Farber Mathieu,400,49.98,1st  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Farber Mathieu,4x400,3:22.02,1st  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Farber Mathieu,400,50.15,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Farber Mathieu,4x400,3:22.50,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Farber Mathieu,200,21.96,14th  (P),New England Outdoor Championship - NEICAAA,May 10-11  2019
Farber Mathieu,200,22.27,13th  (P),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Farber Mathieu,4x400,3:15.51,6th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Farber Mathieu,100,11.15,37th  (F),Virginia Challenge,Apr 19-20  2019
Farber Mathieu,200,21.91w,19th  (F),Virginia Challenge,Apr 19-20  2019
Farber Mathieu,100,10.95,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Farber Mathieu,4x100,42.37,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Farber Mathieu,100,11.10,2nd  (F),University of MA Minuteman Invitational,Apr 6  2019
Farber Mathieu,200,21.85w,2nd  (F),University of MA Minuteman Invitational,Apr 6  2019
Farber Mathieu,4x100,42.16,2nd  (F),University of MA Minuteman Invitational,Apr 6  2019
Farber Mathieu,100,11.03,18th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Farber Mathieu,200,22.21,13th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Farber Mathieu,100,11.06,10th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Farber Mathieu,200,22.13,9th  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Farber Mathieu,200,22.04,31st  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Farber Mathieu,60,7.15,13th  (P),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Farber Mathieu,60,7.10,13th  (P),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Farber Mathieu,200,22.34,13th  (P),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Farber Mathieu,60,7.10,10th  (P),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Farber Mathieu,200,22.18,22nd  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Farber Mathieu,60,7.09,4th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Farber Mathieu,60,7.07,3rd  (P),Dartmouth-Yale-Columbia,Jan 18  2019
Farber Mathieu,200,22.26,2nd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Farber Mathieu,60,7.03,4th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Farber Mathieu,60,7.10,6th  (P),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Farber Mathieu,60,7.13,4th  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Farber Mathieu,60,7.13,4th  (P),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Farber Mathieu,200,22.81,4th  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Farber Mathieu,4x100,41.64,6th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Farber Mathieu,4x100,41.73,1st  (F),UMASS Pre-Conference,Apr 28  2018
Farber Mathieu,200,23.20w,6th  (F),George Davis Invitational,Apr 21  2018
Farber Mathieu,200,23.04,14th  (P),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Farber Mathieu,200,22.58,14th  (P),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Farber Mathieu,60,8.18,5th  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Farber Mathieu,60,7.13,4th  (P),Dartmouth vs Columbia vs Yale,Jan 20  2018
Farber Mathieu,60,7.13,5th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Farber Mathieu,60,7.18,7th  (P),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Farber Mathieu,200,22.77,2nd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Farber Mathieu,60,7.19,8th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Farber Mathieu,60,7.09,5th  (P),2018 Dartmouth Relays - College & Open,Jan 7  2018
Farber Mathieu,60,7.39,26th  (P),Boston University Season Opener,Dec 2  2017
Feffer Nick,1500,3:58.35,9th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Feffer Nick,1000,2:28.66,7th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Feffer Nick,1000,2:32.47,12th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Feffer Nick,4x800,7:46.43,5th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Feffer Nick,DMR,10:25.37,7th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Feffer Nick,Mile,4:07.46,62nd  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Feffer Nick,1000,2:28.48,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Feffer Nick,Mile,4:11.34,9th  (F),Boston University Bruce Lehane Scarlet and White Invite,Feb 1  2020
Feffer Nick,1000,2:32.23,6th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Feffer Nick,4x800,7:52.13,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Feffer Nick,10K,30:31.5,89th,NCAA Division I Northeast Region Cross Country Championships,Nov 15  2019
Feffer Nick,5M,25:59.4,46th,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
Feffer Nick,8K,25:25.5,18th,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Feffer Nick,5K,15:48.9,4th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Feffer Nick,8K,26:02.2,20th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Feffer Nick,1500,3:54.75,8th  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Feffer Nick,1500,4:12.13,11th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Feffer Nick,1500,3:54.17,10th  (P),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Feffer Nick,4x800,7:35.00,2nd  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Feffer Nick,1500,3:54.41,27th  (F),Virginia Challenge,Apr 19-20  2019
Feffer Nick,800,1:57.20,3rd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Feffer Nick,1500,3:54.55,19th  (F),Sam Howell Invitational,Apr 6  2019
Feffer Nick,1500,3:58.93,16th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Feffer Nick,1000,2:26.96,5th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Feffer Nick,1000,2:28.31,7th  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Feffer Nick,4x880 yd,7:41.62,2nd  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Feffer Nick,Mile,4:10.26,54th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Feffer Nick,1000,2:28.00,4th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Feffer Nick,1000,2:30.73,5th  (P),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Feffer Nick,1000,2:30.54,3rd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
