Athlete,Event,Time,Placement,Meet,Date
Ritz Owen,3000,8:17.02,32nd  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Ritz Owen,3000,8:33.45,38th  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Ritz Owen,Mile,4:22.91,11th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Ritz Owen,3000,DNF, ,Dartmouth-Yale-Columbia,Jan 18  2019
Ritz Owen,10K,34:00.1,42nd,NCAA Division I Northeast Region Cross Country Championships,Nov 9  2018
Ritz Owen,8K,24:48.3,7th,Ivy League Cross Country Championships,Oct 27  2018
Ritz Owen,8.369K,26:03.0,62nd,Penn State Nationals Open,Oct 12  2018
Ritz Owen,8K,25:18.5,54th,Coast-to-Coast Battle in Beantown,Sep 21  2018
Ritz Owen,8K,24:59.6,6th,2018 Maribel Sanchez Souther XC Invitational,Sep 8  2018
Ritz Owen,3000S,9:21.43,13th  (F),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Ritz Owen,3000S,9:21.35,10th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Ritz Owen,3000S,9:31.33,29th  (F),2018 Larry Ellis Invitational,Apr 20-21  2018
Ritz Owen,1500,4:05.46,6th  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Ritz Owen,3000S,9:34.14,13th  (F),Sam Howell Invitational,Apr 6  2018
Ritz Owen,Mile,4:36.81,10th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Ritz Owen,3000,9:16.19,23rd  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Ritz Owen,5M,27:32.2,81st,Ivy League Heptagonal Cross Country Championships,Oct 27  2017
Ritz Owen,8K,26:03.2,33rd,NEICAAA Cross Country Championship,Oct 7  2017
Ritz Owen,5K,16:04.7,7th,Coast-To-Coast Battle in Beantown,Sep 22  2017
Ritz Owen,8K,26:05.3,9th,2017 Maribel Sanchez Souther XC Invitational,Sep 9  2017
Robinson Aidan,800,1:54.29,6th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Robinson Aidan,4x400,3:25.80,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Robinson Aidan,800,1:58.07,9th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Robinson Aidan,4x400,3:28.36,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Schreck Myles,HT,56.51m,6th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Schreck Myles,HT,53.57m,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Schreck Myles,HT,55.22m,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Schreck Myles,WT,16.16m,13th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Schreck Myles,WT,16.38m,6th  (F),14th Giegengack Invitational,Feb 15  2020
Schreck Myles,WT,16.47m,3rd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Schreck Myles,WT,16.83m,10th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Schreck Myles,WT,16.00m,3rd  (F),UNH vs Maine vs Vermont vs Dartmouth,Jan 25  2020
Schreck Myles,WT,15.87m,7th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Schreck Myles,WT,15.69m,4th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Schreck Myles,WT,16.12m,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Schreck Myles,WT,15.63m,5th  (F),Crimson Opener,Dec 7  2019
Schreck Myles,HT,52.83m,6th  (F),USATF U20 Championships,Jun 21-23  2019
Schreck Myles,HT,53.54m,8th  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Schreck Myles,HT,55.29m,7th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Schreck Myles,HT,51.86m,1st  (F),2019 UNH Pre-Conference Invitational,Apr 27  2019
Schreck Myles,HT,53.08m,4th  (F),Jay Carisella Coaches Invitational,Apr 20  2019
Schreck Myles,DT,37.16m,7th  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Schreck Myles,HT,53.01m,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Schreck Myles,HT,49.03m,3rd  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Schreck Myles,WT,14.70m,16th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Schreck Myles,WT,14.22m,18th  (F),Fastrack National Invite,Feb 8  2019
Schreck Myles,WT,14.33m,7th  (F),UNH vs Maine vs Vermont vs Dartmouth,Jan 26  2019
Schreck Myles,WT,13.31m,6th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Schreck Myles,WT,14.49m,10th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Schreck Myles,WT,13.93m,7th  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Schreck Myles,WT,13.37m,15th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Spearman Donovan,4x100,DNF, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Spearman Donovan,60,6.82,2nd  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Spearman Donovan,60,6.80,2nd  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Spearman Donovan,60,6.79,1st  (F),14th Giegengack Invitational,Feb 15  2020
Spearman Donovan,60,6.87,1st  (P),14th Giegengack Invitational,Feb 15  2020
Spearman Donovan,60,6.83,1st  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Spearman Donovan,60,6.91,1st  (P),2020 Dartmouth Indoor Invitational,Feb 8  2020
Spearman Donovan,60,6.91,5th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Spearman Donovan,60,6.95,4th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Spearman Donovan,60,6.81,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Spearman Donovan,60,6.79,1st  (P),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Spearman Donovan,100,10.79w,7th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Spearman Donovan,100,10.66,3rd  (P),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Spearman Donovan,200,21.11,2nd  (P),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Spearman Donovan,100,10.63,7th  (F),Virginia Challenge,Apr 19-20  2019
Spearman Donovan,200,21.14,1st  (F),Virginia Challenge,Apr 19-20  2019
Spearman Donovan,4x100,42.37,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Spearman Donovan,100,10.70,1st  (F),University of MA Minuteman Invitational,Apr 6  2019
Spearman Donovan,200,21.62W,1st  (F),University of MA Minuteman Invitational,Apr 6  2019
Spearman Donovan,4x100,42.16,2nd  (F),University of MA Minuteman Invitational,Apr 6  2019
Spearman Donovan,100,10.54,5th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Spearman Donovan,200,21.22,2nd  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Spearman Donovan,100,10.74,3rd  (F),Yellow Jacket Invitational,Mar 15-16  2019
Spearman Donovan,60,6.85,3rd  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Spearman Donovan,60,6.82,2nd  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Spearman Donovan,200,21.77,3rd  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Spearman Donovan,200,21.99,5th  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Spearman Donovan,60,7.08,20th  (P),Fastrack National Invite,Feb 8  2019
Spearman Donovan,200,21.76,2nd  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Spearman Donovan,200,21.79,1st  (P),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Spearman Donovan,60,6.82,2nd  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Spearman Donovan,60,6.90,2nd  (P),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Spearman Donovan,60,6.88,1st  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Spearman Donovan,60,6.93,1st  (P),Dartmouth-Yale-Columbia,Jan 18  2019
Spearman Donovan,200,22.01,1st  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Spearman Donovan,60,6.84,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Spearman Donovan,60,6.93,1st  (P),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Spearman Donovan,60,6.90,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Spearman Donovan,60,6.92,1st  (P),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Spearman Donovan,200,22.24,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Spearman Donovan,60,6.89,2nd  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Spearman Donovan,60,6.93,3rd  (P),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Spearman Donovan,100,12.61,8th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Spearman Donovan,100,10.75,6th  (P),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Spearman Donovan,200,21.35,2nd  (P),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Spearman Donovan,4x100,41.64,6th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Spearman Donovan,4x100,41.73,1st  (F),UMASS Pre-Conference,Apr 28  2018
Spearman Donovan,100,10.92,14th  (F),Virginia Challenge,Apr 20-21  2018
Spearman Donovan,200,22.05,21st  (F),Virginia Challenge,Apr 20-21  2018
Spearman Donovan,100,10.94,3rd  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Spearman Donovan,200,21.73,1st  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Spearman Donovan,100,11.11,2nd  (F),2018 Mark Young Invitational,Apr 7  2018
Spearman Donovan,60,6.82,1st  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Spearman Donovan,60,6.86,1st  (P),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Spearman Donovan,200,23.07,5th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Spearman Donovan,60,6.85,3rd  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Spearman Donovan,60,6.88,1st  (P),2018 Dartmouth Relays - College & Open,Jan 7  2018
Spearman Donovan,60,6.87,1st  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Spearman Donovan,60,6.96,1st  (P),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Spearman Donovan,200,21.98,1st  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Spearman Donovan,60,FS, ,Boston University Season Opener,Dec 2  2017
Spearman Donovan,60,6.92,2nd  (P),Boston University Season Opener,Dec 2  2017
Spearman Donovan,200,22.20,6th  (F),Boston University Season Opener,Dec 2  2017
Stevens Justin,4x400,3:17.94,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Stevens Justin,400,51.79,9th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Wade Charlie,400,50.80,16th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Wade Charlie,4x400,3:17.66,5th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Wade Charlie,400,49.81,71st  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Wade Charlie,4x400,3:16.71,4th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Wade Charlie,400,51.08,1st  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Wade Charlie,4x400,3:22.67,1st  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Wade Charlie,DMR,10:15.28,4th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Wade Charlie,400,50.95,4th  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Wade Charlie,4x400,3:22.50,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Wade Charlie,400,DNF, ,Yellow Jacket Invitational,Mar 15-16  2019
Wade Charlie,400,49.88,11th  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Wade Charlie,4x440 yd,3:16.36,3rd  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Wade Charlie,400,48.93,23rd  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Wade Charlie,400,50.12,13th  (P),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Wade Charlie,4x400,3:17.98,5th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Wade Charlie,400,49.77,41st  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Wade Charlie,400,50.37,3rd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Wade Charlie,4x400,3:18.77,2nd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Wade Charlie,400,50.12,3rd  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Wade Charlie,4x400,3:20.47,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Wade Charlie,400,49.67,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Wade Charlie,4x400,3:18.88,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Wade Charlie,400,49.92,8th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Winslow Jake,Mile,4:17.18,8th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Winslow Jake,Mile,4:18.00,10th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Winslow Jake,DMR,10:25.37,7th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Winslow Jake,Mile,4:19.94,171st  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Winslow Jake,3000,8:35.39,71st  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Winslow Jake,Mile,4:16.90,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Winslow Jake,3000,8:33.59,5th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Winslow Jake,5M,26:29.9,65th,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
Winslow Jake,8K,26:08.3,220th,Pre-National Invitational,Oct 19  2019
Winslow Jake,8K,24:30.8,90th,Lehigh Paul Short Run (College),Oct 5  2019
Winslow Jake,8K,25:40.6,77th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Winslow Jake,8K,25:39.7,12th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Zepf Tim,800,2:02.08,24th  (P),NCAA Division I East Preliminary Round,May 26-29  2021
Zepf Tim,800,1:48.39,2nd  (P),NCAA Division I East Preliminary Round,May 26-29  2021
Zepf Tim,800,1:48.83,1st  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Zepf Tim,800,1:49.45,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Zepf Tim,4x400,3:25.80,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Zepf Tim,800,1:50.30,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Zepf Tim,4x400,3:28.36,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Zepf Tim,800,1:51.10,1st  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Zepf Tim,800,1:52.46,1st  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Zepf Tim,4x800,7:46.43,5th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Zepf Tim,800,1:50.08,9th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Zepf Tim,800,1:59.34,10th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Zepf Tim,800,1:50.05,5th  (F),Boston University Bruce Lehane Scarlet and White Invite,Feb 1  2020
Zepf Tim,800,1:51.06,1st  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Zepf Tim,4x400,3:18.95,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Zepf Tim,400,50.31,4th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Zepf Tim,4x400,3:22.02,1st  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Zepf Tim,1000,2:30.79,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Zepf Tim,4x400,3:22.50,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Zepf Tim,800,1:52.57,21st  (P),NCAA Division I East Region Preliminary Rounds,May 23-25  2019
Zepf Tim,800,1:50.35,10th  (P),NCAA Division I East Region Preliminary Rounds,May 23-25  2019
Zepf Tim,800,1:51.46,6th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Zepf Tim,800,1:49.51,4th  (P),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Zepf Tim,800,1:52.54,21st  (F),Virginia Challenge,Apr 19-20  2019
Zepf Tim,1500,3:54.62,8th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Zepf Tim,800,1:50.61,2nd  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Zepf Tim,800,1:51.37,3rd  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Zepf Tim,4x880 yd,7:41.62,2nd  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Zepf Tim,800,1:49.32,9th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Zepf Tim,800,1:52.33,14th  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Zepf Tim,1000,2:32.62,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Zepf Tim,4x400,3:28.09,5th  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Zepf Tim,5K,15:57.2,46th,16th Annual CCSU Mini Meet,Oct 19  2018
Zepf Tim,800,1:53.87,48th  (P),NCAA East Preliminary Round,May 24-26  2018
Zepf Tim,400,49.04,9th  (P),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Zepf Tim,800,1:49.62,6th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Zepf Tim,800,1:50.84,6th  (P),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Zepf Tim,4x800,7:29.71,7th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Zepf Tim,800,1:51.21,11th  (F),Virginia Challenge,Apr 20-21  2018
Zepf Tim,1500,3:58.17,12th  (F),Virginia Challenge,Apr 20-21  2018
Zepf Tim,400,49.33,3rd  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Zepf Tim,800,1:54.30,7th  (F),Sam Howell Invitational,Apr 6  2018
Zepf Tim,800,1:54.53,12th  (F),FSU Relays (College),Mar 23  2018
Zepf Tim,800,1:52.76,2nd  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Zepf Tim,800,1:55.22,6th  (P),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Zepf Tim,4x800,7:38.72,3rd  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Zepf Tim,800,1:54.41,42nd  (F),Boston University David Hemery Valentine Invitational,Feb 9-10  2018
Zepf Tim,500,1:04.68,2nd  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Zepf Tim,500,1:04.66,1st  (P),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Zepf Tim,800,1:54.92,1st  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Zepf Tim,500,1:05.50,4th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Zepf Tim,4x400,3:30.47,3rd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Zepf Tim,800,1:59.05,4th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Zepf Tim,4x400,3:31.28,8th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Zepf Tim,Mile,4:32.99,9th  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Zepf Tim,4x400,3:30.52,5th  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Zepf Tim,5K,17:05.6,94th,15th Annual CCSU Mini Meet,Oct 20  2017
